1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
4	N	78
4	J	79
2	W	79
4	R	79
5	N	84
5	J	84
4	W	84
5	R	84
4	J	139
4	R	140
5	E	140
6	N	140
6	J	141
4	W	141
6	R	141
4	J	255
4	R	255
6	E	255
7	N	256
7	J	256
4	W	257
7	R	257
4	J	291
4	R	291
7	E	291
8	N	293
8	J	293
4	W	294
8	R	294
4	J	375
4	R	375
8	E	375
2	J	377
2	R	377
4	E	377
9	N	384
9	J	384
2	W	385
9	R	385
2	J	390
2	R	390
9	E	390
1	J	390
1	R	390
2	E	390
10	N	390
10	J	391
1	W	391
10	R	391
11	N	423
11	J	423
10	W	424
11	R	424
10	J	426
10	R	426
11	E	426
10	W	432
0	R	432
10	J	1064
10	R	1064
10	W	1064
0	R	1064
10	J	1095
10	R	1095
10	W	1095
0	R	1095
10	J	1170
10	R	1170
10	W	1170
0	R	1170
10	J	1175
10	R	1175
10	W	1175
0	R	1175
10	J	1269
10	R	1270
10	W	1270
0	R	1270
10	J	1347
10	R	1347
10	W	1347
0	R	1347
10	J	1451
10	R	1451
10	W	1451
0	R	1451
10	J	1514
10	R	1514
10	W	1514
0	R	1514
10	J	1672
10	R	1672
10	W	1672
0	R	1672
10	J	1737
10	R	1737
10	W	1737
0	R	1737
10	J	1772
10	R	1772
10	W	1772
0	R	1772
10	J	1804
10	R	1804
10	W	1804
0	R	1804
10	J	1850
10	R	1850
10	W	1850
0	R	1850
10	J	1908
10	R	1908
10	W	1908
0	R	1908
10	J	2279
10	R	2279
12	N	2280
12	J	2280
10	W	2281
12	R	2281
13	N	2282
13	J	2283
14	N	2283
14	J	2283
15	N	2283
15	J	2284
16	N	2284
16	J	2285
17	N	2285
17	J	2285
12	W	2286
17	R	2286
17	J	2301
16	R	2301
16	J	2316
15	R	2316
15	J	2331
14	R	2331
14	W	2331
13	R	2331
13	J	2346
17	R	2346
17	J	2361
16	R	2361
16	J	2376
15	R	2376
15	J	2391
13	R	2391
13	J	2406
17	R	2406
17	J	2421
16	R	2421
14	J	2436
16	J	2436
14	R	2436
14	W	2436
15	R	2436
15	J	2451
13	R	2451
13	J	2466
17	R	2466
17	J	2481
16	R	2481
16	J	2496
15	R	2496
15	J	2511
13	R	2511
13	J	2526
17	R	2526
14	J	2541
17	J	2541
14	R	2541
14	W	2541
16	R	2541
16	J	2556
15	R	2556
15	J	2571
13	R	2571
13	J	2586
17	R	2586
17	J	2601
16	R	2601
16	J	2616
15	R	2616
15	J	2631
13	R	2631
14	J	2646
13	J	2646
14	R	2646
14	W	2646
17	R	2646
17	J	2661
16	R	2661
16	W	2671
15	R	2671
15	W	2681
13	R	2681
13	J	2696
17	R	2696
17	J	2711
13	R	2711
13	J	2726
17	R	2726
17	J	2741
13	R	2741
14	J	2756
13	J	2756
14	R	2756
14	W	2756
17	R	2756
17	J	2771
13	R	2771
16	J	2786
15	J	2786
13	J	2786
16	R	2786
16	W	2786
15	R	2786
15	J	2812
17	R	2812
17	J	2827
15	R	2827
15	J	2842
13	R	2842
14	J	2857
13	J	2857
14	R	2857
14	W	2857
17	R	2857
17	J	2872
15	R	2872
16	J	2887
15	J	2887
16	R	2887
16	W	2887
13	R	2887
13	J	2902
17	R	2902
17	J	2917
15	R	2917
15	J	2932
13	R	2932
13	J	2947
17	R	2947
14	J	2962
17	J	2962
14	R	2962
14	W	2962
15	R	2962
15	J	2977
13	R	2977
16	J	2992
13	J	2992
16	R	2992
16	W	2992
17	R	2992
17	J	3007
15	R	3007
15	W	3021
13	R	3021
13	J	3036
17	R	3036
17	J	3051
13	R	3051
14	J	3066
13	J	3066
14	R	3066
14	W	3066
17	R	3066
3	J	3081
17	J	3081
3	R	3081
3	W	3081
13	R	3081
16	J	3096
13	J	3096
16	R	3096
16	W	3096
17	R	3096
17	J	3111
13	R	3111
15	J	3126
13	J	3126
15	R	3126
15	J	3152
17	R	3152
14	J	3167
17	J	3167
14	R	3167
14	W	3167
15	R	3167
15	J	3182
13	R	3182
16	J	3197
13	J	3197
16	R	3197
16	W	3197
17	R	3197
17	J	3212
15	R	3212
15	J	3227
13	R	3227
13	J	3242
17	R	3242
17	W	3243
15	R	3243
15	J	3258
13	R	3258
14	J	3273
13	J	3273
14	R	3273
14	W	3273
15	R	3273
15	J	3288
13	R	3288
16	J	3303
13	J	3303
16	R	3303
16	W	3303
15	R	3303
15	W	3317
13	R	3317
17	J	3347
13	J	3347
17	R	3347
17	W	3347
13	R	3347
14	J	3377
13	J	3377
14	R	3377
12	J	3377
12	R	3377
14	E	3377
12	W	3377
13	R	3377
16	J	3407
13	J	3407
16	R	3407
16	W	3407
13	R	3407
15	J	3422
13	J	3422
15	R	3422
17	J	3451
15	J	3451
17	R	3451
17	W	3451
15	R	3451
15	J	3466
13	R	3466
13	J	3481
15	R	3481
15	J	3496
13	R	3496
16	J	3511
13	J	3511
16	R	3511
16	W	3511
15	R	3511
15	J	3526
13	R	3526
13	J	3541
15	R	3541
17	J	3556
15	J	3556
17	R	3556
17	W	3556
13	R	3556
13	J	3571
15	R	3571
15	W	3582
13	R	3582
16	J	3612
13	J	3612
16	R	3612
12	J	3612
12	R	3612
16	E	3612
12	W	3612
13	R	3612
17	J	3657
13	J	3657
17	R	3657
17	W	3657
13	R	3657
15	J	3687
13	J	3687
15	R	3687
15	J	3731
13	R	3731
13	J	3746
15	R	3746
17	J	3761
15	J	3761
17	R	3761
17	W	3761
